"","type","ind","time","coefhat","tstat","state"
"1","AO",150,150,105.403167506015,4.4974152687991,"X02"
"2","LS",4,4,-1466.26019820968,-3.62867925571017,"X17"
"3","AO",169,169,1697.24109621866,3.84814113805109,"X17"
"4","TC",192,192,1757.71484899294,3.66219411250512,"X17"
"5","AO",13,13,584.554380659068,4.76298970081844,"X20"
"6","AO",150,150,485.505696350823,4.01061153880852,"X20"
"7","AO",169,169,527.269479610204,4.34967437140623,"X20"
"8","TC",12,12,854.942872592489,4.56274277210842,"X22"
"9","AO",25,25,596.434393545965,3.58636330495257,"X22"
"10","AO",80,80,642.526889483282,3.86984936276541,"X22"
"11","TC",150,150,775.402244182236,4.62018533458054,"X08"
"12","TC",150,150,2206.369593056,3.93914136337419,"X12"
"13","TC",150,150,1807.06263792317,3.53427197473489,"X13"
"14","TC",150,150,1097.24638536385,3.60062801778539,"X18"
"15","TC",150,150,604.547267901266,3.94217944903251,"X19"
"16","AO",150,150,288.87434711927,4.98800740332057,"X23"
"17","TC",150,150,1050.39587253691,4.20899376593942,"X24"
"18","TC",150,150,1772.83649685585,4.23783602087194,"X26"
"19","AO",150,150,998.664160785303,6.18100339962278,"X27"
"20","AO",150,150,239.645738140682,4.74298335486674,"X30"
"21","TC",150,150,1564.04258435802,3.99120866070002,"X34"
"22","AO",150,150,311.005757837353,3.85645297167921,"X35"
"23","TC",150,150,1730.32385249225,3.97470845175376,"X37"
"24","TC",150,150,2244.36227483109,4.57369050540782,"X39"
"25","TC",150,150,731.279599385709,3.93337775618403,"X40"
"26","TC",150,150,250.361448407386,4.96660597628787,"X44"
"27","TC",150,150,875.995585272151,3.85638596206549,"X45"
"28","AO",150,150,237.257787891054,5.11344074128065,"X46"
"29","AO",150,150,778.936984359089,4.1887276619226,"X49"
"30","TC",150,150,1509.32102225806,4.10695927976699,"X51"
"31","AO",150,150,1002.9872709705,4.99589004810975,"X53"
"32","AO",150,150,191.32595918777,4.42942951624528,"X56"
